acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.17,0.9,0.35,-1.94,0.02,0.38,32.29
0.17,0.9,0.36,-2.03,0.56,0.5,32.44
0.17,0.89,0.35,-2.05,0.5,0.58,32.48
0.17,0.9,0.35,-1.89,0.46,0.55,32.39
0.17,0.9,0.35,-2.37,0.15,0.32,32.34
0.17,0.9,0.35,-1.98,0.37,0.4,32.39
0.17,0.89,0.36,-1.65,0.03,0.52,32.34
0.17,0.9,0.35,-2.15,-0.15,0.5,32.39
0.17,0.9,0.35,-2.47,0.18,0.7,32.29
0.17,0.9,0.35,-2.41,0.53,0.55,32.25
0.17,0.91,0.35,-1.71,0.4,0.34,32.34
0.17,0.9,0.35,-2.37,-0.34,0.44,32.39
0.17,0.9,0.35,-2.35,-0.49,0.47,32.34
0.17,0.9,0.36,-2.21,-0.35,0.84,32.39
0.17,0.9,0.35,-1.97,0.08,0.87,32.29
0.17,0.9,0.36,-1.79,0.05,0.6,32.34
0.17,0.91,0.34,-2.49,-0.18,0.43,32.34
0.17,0.9,0.35,-2.96,-0.31,0.26,32.29
0.17,0.89,0.35,-2.89,0.08,0.84,32.25
0.17,0.89,0.37,-2.49,0.6,1.73,32.39
0.17,0.9,0.36,-1.54,0.24,1.47,32.29
0.17,0.9,0.36,-1.59,-0.56,0.69,32.34
0.18,0.9,0.35,-1.63,-0.92,0.6,32.29
0.18,0.91,0.35,-1.73,-1.16,0.35,32.29
0.18,0.89,0.35,-1.27,-0.89,1.1,32.34
0.17,0.9,0.36,-1.08,-0.52,1.25,32.39
0.17,0.89,0.35,-1.5,-0.21,1.56,32.39
0.17,0.9,0.36,-1.59,-0.05,1.15,32.34
0.17,0.9,0.35,-1.83,-0.09,1.11,32.39
0.17,0.9,0.36,-2.34,0.03,0.63,32.34
0.17,0.9,0.36,-3.07,0.52,0.35,32.44
0.17,0.9,0.35,-2.84,0.56,0.84,32.39
0.17,0.9,0.35,-3.02,0.26,0.38,32.44
0.17,0.91,0.34,-3.34,0.6,0.24,32.34
0.17,0.9,0.36,-3.4,0.69,0.14,32.29
0.17,0.9,0.36,-2.96,1.02,0.5,32.34
0.17,0.9,0.36,-2.78,0.84,0.55,32.25
0.17,0.9,0.35,-2.55,0.61,0.53,32.39
0.17,0.89,0.36,-2.6,0.08,0.38,32.34
0.17,0.9,0.36,-2.98,0.08,0.41,32.34
0.17,0.9,0.36,-1.59,0.38,0.2,32.29
0.17,0.9,0.35,-1.01,0.18,0.27,32.25
0.17,0.9,0.35,-2.23,-0.41,0.23,32.34
0.17,0.9,0.36,-3.04,-0.12,0.7,32.39
0.16,0.89,0.36,-2.66,0.82,1.16,32.34
0.16,0.89,0.36,-2.67,1.22,1.34,32.34
0.17,0.9,0.35,-3.24,0.56,0.78,32.29
0.16,0.91,0.36,-3.8,-0.06,-0.41,32.34
0.17,0.89,0.36,-3.21,-0.56,-0.56,32.34
0.17,0.89,0.36,-2.09,-0.4,0.08,32.29
0.17,0.89,0.36,-1.57,-0.15,1.01,32.34
0.17,0.89,0.36,-0.69,0.0,1.44,32.34
0.18,0.89,0.36,-0.5,-0.5,1.18,32.39
0.17,0.9,0.35,-0.6,-0.96,0.81,32.34
0.17,0.89,0.36,-0.55,-1.18,0.84,32.34
0.16,0.89,0.36,-0.18,-1.04,0.99,32.29
0.17,0.89,0.35,0.0,-0.4,0.96,32.34
0.17,0.9,0.36,-0.52,-0.78,0.73,32.34
0.17,0.9,0.36,-1.33,-0.63,0.52,32.39
0.17,0.9,0.37,-1.73,-0.34,0.38,32.34
0.16,0.9,0.36,-2.41,0.29,0.34,32.34
0.17,0.9,0.35,-2.93,0.61,0.23,32.39
0.17,0.91,0.35,-3.3,0.43,0.06,32.34
0.17,0.91,0.36,-3.54,0.14,0.02,32.34
0.17,0.9,0.35,-3.69,0.18,-0.46,32.29
0.17,0.9,0.35,-3.56,0.37,-0.6,32.34
0.17,0.9,0.36,-3.16,0.21,-0.23,32.44
0.17,0.9,0.36,-2.95,-0.02,-0.44,32.39
0.18,0.9,0.36,-2.96,-0.27,-0.46,32.34
0.17,0.89,0.36,-2.35,-0.24,-0.15,32.34
0.18,0.89,0.36,-2.12,-0.03,0.15,32.48
0.17,0.89,0.36,-1.79,-0.05,0.35,32.34
0.17,0.89,0.36,-1.66,-0.08,0.67,32.34
0.17,0.9,0.36,-1.48,-0.27,0.93,32.39
0.17,0.89,0.36,-1.31,-0.09,0.67,32.34
0.17,0.9,0.36,-1.62,-0.02,0.73,32.34
0.17,0.9,0.36,-2.26,-0.18,0.35,32.39
0.17,0.9,0.36,-2.66,0.12,0.37,32.44
0.17,0.9,0.36,-2.7,0.05,0.34,32.34
0.17,0.9,0.35,-2.7,0.31,0.7,32.39
0.17,0.9,0.36,-2.79,0.46,0.78,32.44
0.17,0.89,0.35,-2.9,0.78,0.61,32.39
0.16,0.89,0.36,-2.53,0.66,0.73,32.29
0.17,0.88,0.36,-1.89,0.03,1.13,32.34
0.17,0.89,0.36,-1.86,-0.11,1.01,32.29
0.17,0.89,0.36,-1.4,0.11,1.13,32.29
0.17,0.89,0.36,-1.19,-0.31,1.5,32.34
0.17,0.89,0.37,-1.42,-0.67,1.31,32.29
0.17,0.9,0.36,-1.33,-0.24,1.36,32.39
0.16,0.9,0.36,-1.04,0.18,1.18,32.34
0.17,0.9,0.36,-1.01,0.14,0.89,32.39
0.17,0.9,0.36,-2.21,-0.15,0.63,32.29
0.17,0.9,0.35,-2.47,-0.17,0.78,32.34
0.17,0.89,0.36,-2.53,0.29,0.99,32.39
