acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.21,0.93,0.22,1.01,-0.37,1.51,32.39
0.21,0.94,0.22,0.24,-0.11,0.93,32.25
0.21,0.94,0.23,-0.24,-0.52,1.08,32.34
0.2,0.93,0.23,0.08,-0.84,1.74,32.29
0.2,0.93,0.22,-0.17,-0.79,2.05,32.2
0.22,0.94,0.22,-0.55,-0.53,1.18,32.25
0.21,0.93,0.23,-0.05,-0.4,1.51,32.29
0.21,0.93,0.22,0.72,-0.6,2.11,32.34
0.21,0.94,0.22,0.85,-0.12,2.23,32.34
0.21,0.94,0.22,0.85,0.23,1.83,32.29
0.21,0.93,0.23,1.28,0.35,2.0,32.34
0.21,0.94,0.22,0.98,0.27,2.0,32.34
0.21,0.93,0.22,0.64,0.29,1.98,32.29
0.21,0.93,0.23,1.39,-0.29,1.94,32.34
0.21,0.93,0.22,1.25,-0.78,2.17,32.25
0.21,0.94,0.22,-0.35,-0.82,1.39,32.39
0.21,0.93,0.22,-1.51,-0.21,1.1,32.25
0.21,0.94,0.22,-0.58,-1.01,1.88,32.25
0.21,0.94,0.21,-0.78,-1.69,1.56,32.29
0.21,0.95,0.22,-1.86,-1.79,1.21,32.34
0.21,0.94,0.22,-2.08,-1.39,1.31,32.34
0.21,0.93,0.22,-1.51,-1.1,1.15,32.29
0.2,0.93,0.22,-1.3,-1.54,1.19,32.34
0.21,0.94,0.22,-1.25,-2.02,1.16,32.34
0.21,0.94,0.22,-2.11,-1.47,0.52,32.29
0.21,0.93,0.23,-1.86,-0.85,1.1,32.34
0.21,0.92,0.22,-0.79,-1.25,1.95,32.29
0.22,0.92,0.22,0.06,-1.47,2.7,32.29
0.22,0.93,0.23,0.66,-1.82,3.33,32.34
0.22,0.93,0.22,1.4,-1.77,3.97,32.29
0.22,0.93,0.22,1.05,-2.05,3.63,32.2
0.22,0.93,0.22,0.67,-2.27,3.56,32.34
0.22,0.93,0.22,1.04,-2.0,3.25,32.29
0.22,0.93,0.21,0.99,-1.59,2.7,32.39
0.22,0.93,0.21,0.92,-0.92,2.31,32.34
0.22,0.94,0.21,0.67,-1.22,2.17,32.29
0.22,0.94,0.22,-0.69,-0.81,1.05,32.29
0.21,0.94,0.21,-1.45,-0.78,0.61,32.34
0.22,0.93,0.22,-1.74,-0.38,0.66,32.29
0.22,0.94,0.21,-1.83,-0.46,0.6,32.29
0.22,0.94,0.21,-1.57,0.09,0.72,32.25
0.22,0.94,0.21,-1.3,0.17,0.5,32.29
0.22,0.94,0.22,-1.05,0.38,0.72,32.2
0.22,0.93,0.21,-0.87,0.67,0.82,32.25
0.22,0.94,0.22,0.12,-0.03,0.81,32.29
0.22,0.93,0.21,-0.23,-0.11,0.82,32.39
0.22,0.93,0.21,-0.92,0.52,1.31,32.25
0.22,0.93,0.21,0.26,0.06,1.21,32.29
0.23,0.93,0.21,0.96,-0.95,1.16,32.2
0.22,0.93,0.22,-0.47,-1.18,1.44,32.44
0.21,0.92,0.22,-0.73,-0.31,2.14,32.29
0.22,0.93,0.22,-0.09,0.53,2.38,32.29
0.21,0.93,0.21,-0.18,-0.15,2.02,32.34
0.21,0.93,0.21,0.17,-0.79,1.88,32.29
0.22,0.93,0.21,0.81,-0.92,2.09,32.39
0.23,0.94,0.21,0.75,-0.37,1.92,32.25
0.22,0.94,0.22,1.21,-0.17,2.34,32.29
0.23,0.94,0.22,1.08,-0.18,2.76,32.25
0.23,0.93,0.21,0.64,-0.53,2.76,32.34
0.22,0.93,0.21,1.11,-0.55,2.93,32.29
0.22,0.93,0.21,1.79,-0.4,3.4,32.25
0.22,0.93,0.21,2.32,-0.26,3.39,32.25
0.22,0.94,0.21,2.35,-0.32,3.51,32.2
0.23,0.94,0.2,1.94,-0.37,3.19,32.25
0.23,0.93,0.21,1.92,-0.44,3.4,32.25
0.22,0.94,0.2,0.69,-0.53,2.89,32.29
0.22,0.95,0.2,-0.67,-0.37,2.12,32.25
0.22,0.93,0.2,-0.56,-0.2,2.2,32.25
0.22,0.93,0.2,-0.34,0.06,2.35,32.29
0.23,0.95,0.21,-0.49,0.15,2.05,32.25
0.23,0.95,0.2,-1.19,0.2,1.21,32.25
0.23,0.94,0.2,-1.27,0.69,0.96,32.29
